# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
9821at4891	Complete	h2tg000077l_path	31838	33262	+	454.8	350	https://www.orthodb.org/v10?query=9821at4891	Folylpolyglutamate synthase
9846at4891	Missing
9862at4891	Complete	h2tg000029l_path	53290	54789	+	737.7	397	https://www.orthodb.org/v10?query=9862at4891	UTP--glucose-1-phosphate uridylyltransferase
9897at4891	Complete	h2tg000084l_path	7553	9413	+	559.1	433	https://www.orthodb.org/v10?query=9897at4891	Aminoacyl-tRNA synthetase, class II
9903at4891	Complete	h2tg000020l_path	8747	7146	-	457.7	237	https://www.orthodb.org/v10?query=9903at4891	kinase-like protein
9921at4891	Complete	h2tg000120l_path	9811	11370	+	602.6	379	https://www.orthodb.org/v10?query=9921at4891	Peptide hydrolase
9922at4891	Complete	h2tg000029l_path	135603	137477	+	195.5	184	https://www.orthodb.org/v10?query=9922at4891	Bromodomain
9948at4891	Complete	h2tg000013l_path	130293	128638	-	867.2	441	https://www.orthodb.org/v10?query=9948at4891	Aminoacyl-tRNA synthetase, class II
9950at4891	Complete	h2tg000089l_path	28626	27127	-	704.0	395	https://www.orthodb.org/v10?query=9950at4891	Histidine-tRNA ligase
9958at4891	Complete	h2tg000050l_path	1580	3433	+	859.2	482	https://www.orthodb.org/v10?query=9958at4891	RNA (C5-cytosine) methyltransferase
9995at4891	Complete	h2tg000045l_path	74048	72385	-	465.4	371	https://www.orthodb.org/v10?query=9995at4891	Pyridoxal phosphate-dependent transferase
10002at4891	Complete	h2tg000050l_path	29412	30848	+	341.9	290	https://www.orthodb.org/v10?query=10002at4891	GDP-Man
10099at4891	Missing
10130at4891	Fragmented	h2tg000085l_path	2815	4815	+	212.4	314	https://www.orthodb.org/v10?query=10130at4891	BRO1 domain
10138at4891	Complete	h2tg000048l_path	101678	103383	+	341.2	271	https://www.orthodb.org/v10?query=10138at4891	RNA-binding domain superfamily
10174at4891	Complete	h2tg000112l_path	6334	4219	-	464.0	392	https://www.orthodb.org/v10?query=10174at4891	DNA polymerase alpha subunit B
10189at4891	Complete	h2tg000099l_path	65567	66940	+	784.4	407	https://www.orthodb.org/v10?query=10189at4891	Serine-tRNA ligase
10194at4891	Complete	h2tg000102l_path	2176	4011	+	456.1	360	https://www.orthodb.org/v10?query=10194at4891	Peroxisomal targeting signal receptor
10201at4891	Complete	h2tg000090l_path	56142	58043	+	441.3	388	https://www.orthodb.org/v10?query=10201at4891	DNA polymerase epsilon subunit B
10233at4891	Complete	h2tg000058l_path	5455	4205	-	225.2	253	https://www.orthodb.org/v10?query=10233at4891	mRNA cleavage and polyadenylation factor CLP1
10256at4891	Complete	h2tg000089l_path	108199	105917	-	425.0	355	https://www.orthodb.org/v10?query=10256at4891	lipid binding
10279at4891	Complete	h2tg000004l_path	34980	37361	+	633.2	411	https://www.orthodb.org/v10?query=10279at4891	Kinesin-like protein
10313at4891	Complete	h2tg000004l_path	97312	95879	-	609.0	333	https://www.orthodb.org/v10?query=10313at4891	Protein phosphatase PP2A regulatory subunit B
10332at4891	Complete	h2tg000063l_path	42212	39927	-	451.5	386	https://www.orthodb.org/v10?query=10332at4891	Actin interacting protein 3, C-terminal
10341at4891	Complete	h2tg000089l_path	188960	191737	+	450.9	534	https://www.orthodb.org/v10?query=10341at4891	WD40/YVTN repeat-like-containing domain superfamily
10342at4891	Fragmented	h2tg000055l_path	1543	4812	+	689.4	709	https://www.orthodb.org/v10?query=10342at4891	P-loop containing nucleoside triphosphate hydrolase protein
10350at4891	Complete	h2tg000005l_path	168841	167286	-	642.4	357	https://www.orthodb.org/v10?query=10350at4891	ATP-dependent RNA helicase DBP3
10359at4891	Complete	h2tg000010l_path	14203	13004	-	525.9	333	https://www.orthodb.org/v10?query=10359at4891	Succinate--CoA ligase 
10361at4891	Complete	h2tg000089l_path	47346	48668	+	505.3	334	https://www.orthodb.org/v10?query=10361at4891	Ferrodoxin-fold anticodon-binding domain
10391at4891	Complete	h2tg000098l_path	64627	62131	-	629.4	475	https://www.orthodb.org/v10?query=10391at4891	Tetratricopeptide repeat
10450at4891	Complete	h2tg000034l_path	7373	5427	-	661.8	470	https://www.orthodb.org/v10?query=10450at4891	DNA replication origin binding
10497at4891	Complete	h2tg000089l_path	33596	35014	+	267.9	295	https://www.orthodb.org/v10?query=10497at4891	ATPase, V1 complex, subunit H, C-terminal
10591at4891	Complete	h2tg000100l_path	87195	89183	+	296.8	410	https://www.orthodb.org/v10?query=10591at4891	Similar to Saccharomyces cerevisiae YDR137W RGP1 Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p) that catalyzes nucleotide exchange on Ypt6p
10608at4891	Complete	h2tg000075l_path	87112	85802	-	489.7	330	https://www.orthodb.org/v10?query=10608at4891	tRNA guanosine-2'-O-methyltransferase
10618at4891	Complete	h2tg000097l_path	19496	17958	-	400.5	265	https://www.orthodb.org/v10?query=10618at4891	Protein kinase domain
10619at4891	Complete	h2tg000082l_path	5399	3792	-	426.3	363	https://www.orthodb.org/v10?query=10619at4891	Thiamine phosphate synthase
10626at4891	Complete	h2tg000137l_path	34295	36181	+	596.6	430	https://www.orthodb.org/v10?query=10626at4891	Oxoglutarate/iron-dependent dioxygenase
10638at4891	Fragmented	h2tg000042l_path	94715	95484	+	442.6	229	https://www.orthodb.org/v10?query=10638at4891	tRNA-dihydrouridine synthase
10646at4891	Complete	h2tg000024l_path	78613	77282	-	502.4	319	https://www.orthodb.org/v10?query=10646at4891	Aminoacyl-tRNA synthetase, class II
10649at4891	Complete	h2tg000032l_path	12962	11598	-	402.6	309	https://www.orthodb.org/v10?query=10649at4891	WD40-repeat-containing domain
10660at4891	Complete	h2tg000039l_path	206847	208808	+	709.2	440	https://www.orthodb.org/v10?query=10660at4891	Coronin
10670at4891	Complete	h2tg000006l_path	135631	134204	-	329.7	315	https://www.orthodb.org/v10?query=10670at4891	SWR1-complex protein 4
10684at4891	Complete	h2tg000118l_path	86033	87682	+	441.3	338	https://www.orthodb.org/v10?query=10684at4891	SH3 domain
10695at4891	Complete	h2tg000014l_path	85384	87807	+	346.1	384	https://www.orthodb.org/v10?query=10695at4891	Cadherin-like
10719at4891	Complete	h2tg000090l_path	4515	2788	-	246.3	268	https://www.orthodb.org/v10?query=10719at4891	NCA2-domain-containing protein
10727at4891	Complete	h2tg000100l_path	30196	31869	+	250.3	278	https://www.orthodb.org/v10?query=10727at4891	TRAPP III complex, Trs85
10743at4891	Complete	h2tg000080l_path	88476	90272	+	371.9	466	https://www.orthodb.org/v10?query=10743at4891	Signal recognition particle subunit SRP68
10759at4891	Complete	h2tg000002l_path	73129	71717	-	583.9	404	https://www.orthodb.org/v10?query=10759at4891	Heat shock protein DnaJ, cysteine-rich domain
10800at4891	Complete	h2tg000130l_path	36137	37949	+	762.3	410	https://www.orthodb.org/v10?query=10800at4891	Non-specific serine/threonine protein kinase
10825at4891	Complete	h2tg000008l_path	64497	65807	+	658.3	372	https://www.orthodb.org/v10?query=10825at4891	Zf-ZPR1-domain-containing protein
10849at4891	Complete	h2tg000082l_path	116519	115305	-	570.9	319	https://www.orthodb.org/v10?query=10849at4891	Aspartic peptidase A1 family
10854at4891	Complete	h2tg000005l_path	73158	74522	+	416.7	315	https://www.orthodb.org/v10?query=10854at4891	mRNA-capping enzyme subunit alpha
10861at4891	Complete	h2tg000031l_path	50167	47729	-	312.3	394	https://www.orthodb.org/v10?query=10861at4891	FAS1 domain
10872at4891	Complete	h2tg000021l_path	99970	101763	+	624.2	408	https://www.orthodb.org/v10?query=10872at4891	Vacuolar amino acid transporter 1
10892at4891	Complete	h2tg000133l_path	28176	29591	+	562.3	354	https://www.orthodb.org/v10?query=10892at4891	Protein AFG1
10896at4891	Complete	h2tg000095l_path	13669	14925	+	259.0	237	https://www.orthodb.org/v10?query=10896at4891	PPM-type phosphatase domain
10924at4891	Complete	h2tg000020l_path	113975	112509	-	353.0	297	https://www.orthodb.org/v10?query=10924at4891	Actin family
10934at4891	Complete	h2tg000117l_path	189484	188174	-	711.4	364	https://www.orthodb.org/v10?query=10934at4891	Peptide chain release factor eRF1/aRF1
10963at4891	Complete	h2tg000031l_path	56743	57699	+	376.3	251	https://www.orthodb.org/v10?query=10963at4891	General transcription and DNA repair factor IIH
10968at4891	Complete	h2tg000118l_path	43245	41507	-	567.7	360	https://www.orthodb.org/v10?query=10968at4891	polyubiquitin-tagged protein recognition complex, Npl4 component
10975at4891	Complete	h2tg000021l_path	82742	80732	-	703.4	496	https://www.orthodb.org/v10?query=10975at4891	Nucleolar protein 9
11009at4891	Complete	h2tg000111l_path	28154	26785	-	441.9	315	https://www.orthodb.org/v10?query=11009at4891	ubiquinol-cytochrome c reductase core subunit 1
11034at4891	Complete	h2tg000089l_path	31965	33062	+	677.2	326	https://www.orthodb.org/v10?query=11034at4891	Glutamine synthetase
11037at4891	Complete	h2tg000146l_path	67252	68544	+	613.5	361	https://www.orthodb.org/v10?query=11037at4891	ATP-dependent RNA helicase DBP8
11039at4891	Complete	h2tg000110l_path	48186	47386	-	392.2	233	https://www.orthodb.org/v10?query=11039at4891	Methionine aminopeptidase 2
11107at4891	Complete	h2tg000002l_path	214915	216855	+	423.1	312	https://www.orthodb.org/v10?query=11107at4891	DUF155-domain-containing protein
11155at4891	Missing
11161at4891	Complete	h2tg000126l_path	83714	82317	-	702.1	359	https://www.orthodb.org/v10?query=11161at4891	ATP-dependent RNA helicase DHH1
11184at4891	Complete	h2tg000146l_path	68902	70434	+	704.7	402	https://www.orthodb.org/v10?query=11184at4891	60S ribosomal export protein NMD3
11198at4891	Complete	h2tg000098l_path	82680	83843	+	722.9	350	https://www.orthodb.org/v10?query=11198at4891	Actin family
11201at4891	Complete	h2tg000129l_path	68566	87037	+	588.9	322	https://www.orthodb.org/v10?query=11201at4891	26S Proteasome regulatory subunit 6B
11232at4891	Complete	h2tg000103l_path	36188	34749	-	355.3	263	https://www.orthodb.org/v10?query=11232at4891	Svf1-like, C-terminal
11266at4891	Complete	h2tg000055l_path	157547	156102	-	591.8	334	https://www.orthodb.org/v10?query=11266at4891	ATP-dependent RNA helicase DBP5
11279at4891	Complete	h2tg000039l_path	55313	54126	-	685.7	320	https://www.orthodb.org/v10?query=11279at4891	Ketol-acid reductoisomerase, mitochondrial
11326at4891	Complete	h2tg000105l_path	20782	19466	-	403.6	283	https://www.orthodb.org/v10?query=11326at4891	Tetratricopeptide-like helical domain superfamily
11330at4891	Complete	h2tg000138l_path	27042	25600	-	659.5	421	https://www.orthodb.org/v10?query=11330at4891	Peptidase M24
11349at4891	Fragmented	h2tg000117l_path	4502	1834	-	535.9	477	https://www.orthodb.org/v10?query=11349at4891	Tetratricopeptide repeat
11350at4891	Complete	h2tg000100l_path	130813	134703	+	631.6	538	https://www.orthodb.org/v10?query=11350at4891	mRNA export factor Sac3
11365at4891	Complete	h2tg000005l_path	87517	85948	-	290.7	247	https://www.orthodb.org/v10?query=11365at4891	Nuclear polyadenylated RNA-binding protein NAB2
11379at4891	Complete	h2tg000104l_path	33041	35332	+	236.0	414	https://www.orthodb.org/v10?query=11379at4891	Pre-mRNA-splicing factor SYF1
11405at4891	Complete	h2tg000045l_path	85655	83232	-	766.4	577	https://www.orthodb.org/v10?query=11405at4891	Mitochondrial escape protein 2
11444at4891	Complete	h2tg000048l_path	41386	40283	-	582.6	326	https://www.orthodb.org/v10?query=11444at4891	Adenylosuccinate synthetase
11448at4891	Fragmented	h2tg000016l_path	3007	2192	-	365.7	233	https://www.orthodb.org/v10?query=11448at4891	DNA primase
11469at4891	Complete	h2tg000029l_path	196561	195404	-	577.2	310	https://www.orthodb.org/v10?query=11469at4891	tRNA N6-adenosine threonylcarbamoyltransferase
11530at4891	Complete	h2tg000119l_path	83496	82285	-	524.7	329	https://www.orthodb.org/v10?query=11530at4891	Similar to Saccharomyces cerevisiae YBR243C ALG7 UDP-N-acetyl-glucosamine-1-P transferase
11568at4891	Complete	h2tg000029l_path	81965	80742	-	346.0	253	https://www.orthodb.org/v10?query=11568at4891	WD40-repeat-containing domain
11569at4891	Complete	h2tg000060l_path	25714	24347	-	618.9	364	https://www.orthodb.org/v10?query=11569at4891	Gamma-glutamyl phosphate reductase
11586at4891	Complete	h2tg000058l_path	16853	15543	-	683.0	337	https://www.orthodb.org/v10?query=11586at4891	ATPase, AAA-type, conserved site
11624at4891	Complete	h2tg000089l_path	204147	205256	+	372.3	276	https://www.orthodb.org/v10?query=11624at4891	Lysophosphatidylcholine acyltransferase
11625at4891	Complete	h2tg000014l_path	171760	173045	+	592.9	325	https://www.orthodb.org/v10?query=11625at4891	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
11626at4891	Complete	h2tg000002l_path	70096	68630	-	742.3	409	https://www.orthodb.org/v10?query=11626at4891	Dihydrolipoyl dehydrogenase
11682at4891	Complete	h2tg000008l_path	63850	62621	-	612.3	361	https://www.orthodb.org/v10?query=11682at4891	P-loop containing nucleoside triphosphate hydrolase protein
11696at4891	Complete	h2tg000066l_path	27601	26348	-	675.1	374	https://www.orthodb.org/v10?query=11696at4891	WD40-repeat-containing domain
11698at4891	Complete	h2tg000002l_path	220536	218902	-	417.0	305	https://www.orthodb.org/v10?query=11698at4891	Coatomer subunit delta
11745at4891	Complete	h2tg000008l_path	16788	15631	-	613.3	325	https://www.orthodb.org/v10?query=11745at4891	Tyrosine--tRNA ligase
11759at4891	Complete	h2tg000075l_path	71697	72992	+	571.1	344	https://www.orthodb.org/v10?query=11759at4891	1,3-beta-glucanosyltransferase
11780at4891	Complete	h2tg000021l_path	55565	56761	+	640.0	315	https://www.orthodb.org/v10?query=11780at4891	Ribonucleotide reductase small subunit
11796at4891	Complete	h2tg000076l_path	38597	37050	-	270.3	308	https://www.orthodb.org/v10?query=11796at4891	Mannosyltransferase
11809at4891	Complete	h2tg000029l_path	75678	73642	-	244.3	275	https://www.orthodb.org/v10?query=11809at4891	PAN2-PAN3 deadenylation complex subunit PAN3
11823at4891	Complete	h2tg000029l_path	70964	72301	+	537.6	337	https://www.orthodb.org/v10?query=11823at4891	THIF-type NAD/FAD binding fold
11825at4891	Complete	h2tg000126l_path	102765	104099	+	427.8	338	https://www.orthodb.org/v10?query=11825at4891	Winged helix-like DNA-binding domain superfamily
11838at4891	Complete	h2tg000141l_path	15841	17510	+	570.5	395	https://www.orthodb.org/v10?query=11838at4891	P-loop containing nucleoside triphosphate hydrolase protein
11851at4891	Complete	h2tg000126l_path	163436	165586	+	342.8	463	https://www.orthodb.org/v10?query=11851at4891	Nucleoporin NUP84
11866at4891	Complete	h2tg000021l_path	84825	83122	-	810.5	474	https://www.orthodb.org/v10?query=11866at4891	GroEL-like apical domain superfamily
11876at4891	Complete	h2tg000055l_path	186322	187479	+	688.5	348	https://www.orthodb.org/v10?query=11876at4891	Ribosomal protein L3
11892at4891	Complete	h2tg000100l_path	25698	24280	-	526.9	344	https://www.orthodb.org/v10?query=11892at4891	Membrane protein TMS1
11902at4891	Complete	h2tg000140l_path	167659	169398	+	214.6	230	https://www.orthodb.org/v10?query=11902at4891	P-loop containing nucleoside triphosphate hydrolase
11916at4891	Complete	h2tg000142l_path	45321	46424	+	572.4	324	https://www.orthodb.org/v10?query=11916at4891	P-loop containing nucleoside triphosphate hydrolase protein
11940at4891	Duplicated	h2tg000033l_path	16046	14073	-	686.3	504	https://www.orthodb.org/v10?query=11940at4891	Transmembrane 9 superfamily member
11940at4891	Duplicated	h2tg000100l_path	29928	27946	-	650.0	503	https://www.orthodb.org/v10?query=11940at4891	Transmembrane 9 superfamily member
11978at4891	Duplicated	h2tg000014l_path	222521	221115	-	787.4	404	https://www.orthodb.org/v10?query=11978at4891	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain
11978at4891	Duplicated	h2tg000138l_path	31475	32689	+	685.0	351	https://www.orthodb.org/v10?query=11978at4891	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain
12025at4891	Complete	h2tg000053l_path	32013	34316	+	238.8	377	https://www.orthodb.org/v10?query=12025at4891	Putative N-terminal acetyltransferase complex subunit
12039at4891	Complete	h2tg000075l_path	138148	136874	-	717.9	368	https://www.orthodb.org/v10?query=12039at4891	Tryptophanyl-tRNA synthetase
12044at4891	Complete	h2tg000029l_path	214368	215621	+	223.3	200	https://www.orthodb.org/v10?query=12044at4891	DUF300-domain-containing protein
12110at4891	Complete	h2tg000124l_path	2736	1315	-	374.3	302	https://www.orthodb.org/v10?query=12110at4891	Aminoacyl-tRNA synthetase, class II
12111at4891	Complete	h2tg000082l_path	80781	79548	-	566.5	301	https://www.orthodb.org/v10?query=12111at4891	Protoheme IX farnesyltransferase, mitochondrial
12134at4891	Complete	h2tg000069l_path	88471	84260	-	645.2	675	https://www.orthodb.org/v10?query=12134at4891	THO complex, subunitTHOC2, C-terminal
12169at4891	Complete	h2tg000007l_path	23540	25351	+	719.6	433	https://www.orthodb.org/v10?query=12169at4891	Pescadillo homolog
12175at4891	Complete	h2tg000076l_path	88885	87032	-	678.1	477	https://www.orthodb.org/v10?query=12175at4891	Membrane bound O-acyl transferase, MBOAT
12194at4891	Complete	h2tg000075l_path	53094	49956	-	683.8	688	https://www.orthodb.org/v10?query=12194at4891	RNA polymerase-associated protein CTR9
12225at4891	Complete	h2tg000024l_path	50073	53360	+	545.8	744	https://www.orthodb.org/v10?query=12225at4891	Exportin-T
12232at4891	Complete	h2tg000069l_path	3244	4311	+	518.3	297	https://www.orthodb.org/v10?query=12232at4891	N-terminal nucleophile aminohydrolase
12237at4891	Complete	h2tg000069l_path	20422	18761	-	256.9	309	https://www.orthodb.org/v10?query=12237at4891	WD40-repeat-containing domain
12254at4891	Complete	h2tg000107l_path	2165	3277	+	624.1	309	https://www.orthodb.org/v10?query=12254at4891	Pyruvate dehydrogenase E1 component subunit alpha
12256at4891	Complete	h2tg000086l_path	43974	46320	+	514.9	615	https://www.orthodb.org/v10?query=12256at4891	Vps16, C-terminal
12258at4891	Complete	h2tg000099l_path	14085	15401	+	677.7	346	https://www.orthodb.org/v10?query=12258at4891	26S Proteasome regulatory subunit 4
12292at4891	Complete	h2tg000082l_path	128857	131439	+	672.9	462	https://www.orthodb.org/v10?query=12292at4891	ABC transporter type 1, transmembrane domain
12307at4891	Complete	h2tg000126l_path	94859	93030	-	357.7	330	https://www.orthodb.org/v10?query=12307at4891	Sas10 C-terminal domain
12308at4891	Fragmented	h2tg000100l_path	34493	33531	-	396.3	263	https://www.orthodb.org/v10?query=12308at4891	Carbohydrate kinase, FGGY, C-terminal
12314at4891	Complete	h2tg000045l_path	23860	22781	-	479.4	289	https://www.orthodb.org/v10?query=12314at4891	Cytochrome b5-like heme/steroid binding domain
12332at4891	Complete	h2tg000014l_path	171502	170006	-	439.2	353	https://www.orthodb.org/v10?query=12332at4891	Protein SHQ1
12347at4891	Complete	h2tg000088l_path	7322	4620	-	820.5	600	https://www.orthodb.org/v10?query=12347at4891	Mitochondrial carrier
12349at4891	Complete	h2tg000133l_path	32195	31185	-	411.5	266	https://www.orthodb.org/v10?query=12349at4891	ribosomal protein L2
12381at4891	Complete	h2tg000016l_path	7201	8493	+	380.2	301	https://www.orthodb.org/v10?query=12381at4891	WD40-repeat-containing domain
12422at4891	Complete	h2tg000063l_path	3132	4461	+	686.8	384	https://www.orthodb.org/v10?query=12422at4891	Pyridoxal phosphate-dependent transferase
12445at4891	Complete	h2tg000057l_path	6092	4809	-	513.2	331	https://www.orthodb.org/v10?query=12445at4891	Nicotinate phosphoribosyltransferase
12450at4891	Missing
12468at4891	Complete	h2tg000029l_path	58858	61966	+	421.8	581	https://www.orthodb.org/v10?query=12468at4891	Armadillo-type fold
12469at4891	Complete	h2tg000021l_path	195227	196909	+	396.6	374	https://www.orthodb.org/v10?query=12469at4891	Leucine-rich repeat, cysteine-containing subtype
12487at4891	Complete	h2tg000059l_path	39632	40792	+	542.2	308	https://www.orthodb.org/v10?query=12487at4891	Carbamoyl-phosphate synthase arginine-specific small chain
12502at4891	Complete	h2tg000076l_path	52260	53649	+	411.8	321	https://www.orthodb.org/v10?query=12502at4891	SUN domain
12523at4891	Complete	h2tg000119l_path	68522	67233	-	415.0	285	https://www.orthodb.org/v10?query=12523at4891	mRNA cap guanine-N7 methyltransferase
12541at4891	Complete	h2tg000049l_path	39228	41834	+	782.3	396	https://www.orthodb.org/v10?query=12541at4891	ATP-dependent RNA helicase DBP2
12549at4891	Complete	h2tg000034l_path	33045	34349	+	635.8	305	https://www.orthodb.org/v10?query=12549at4891	Mitogen-activated protein kinase
12560at4891	Complete	h2tg000090l_path	55002	53698	-	681.3	365	https://www.orthodb.org/v10?query=12560at4891	ATPase, AAA-type, conserved site
12562at4891	Complete	h2tg000140l_path	116125	118506	+	358.1	403	https://www.orthodb.org/v10?query=12562at4891	Conserved oligomeric Golgi complex subunit 3
12567at4891	Complete	h2tg000086l_path	6644	8062	+	462.9	320	https://www.orthodb.org/v10?query=12567at4891	Mitochondrial import inner membrane translocase subunit TIM50
12584at4891	Complete	h2tg000102l_path	57288	60104	+	688.6	545	https://www.orthodb.org/v10?query=12584at4891	P-type ATPase
12627at4891	Complete	h2tg000065l_path	236864	235542	-	506.1	338	https://www.orthodb.org/v10?query=12627at4891	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial
12629at4891	Complete	h2tg000069l_path	80219	81673	+	610.6	375	https://www.orthodb.org/v10?query=12629at4891	Ammonium transporter
12635at4891	Complete	h2tg000080l_path	46475	44523	-	596.5	421	https://www.orthodb.org/v10?query=12635at4891	Galactose oxidase
12664at4891	Complete	h2tg000029l_path	255073	256806	+	497.7	339	https://www.orthodb.org/v10?query=12664at4891	Uroporphyrin-III C-methyltransferase
12680at4891	Complete	h2tg000029l_path	87506	88483	+	277.3	237	https://www.orthodb.org/v10?query=12680at4891	WD40-repeat-containing domain
12684at4891	Complete	h2tg000123l_path	55762	57009	+	755.6	400	https://www.orthodb.org/v10?query=12684at4891	Phosphoglycerate kinase
12717at4891	Complete	h2tg000099l_path	127972	129048	+	561.9	310	https://www.orthodb.org/v10?query=12717at4891	Uroporphyrinogen decarboxylase
12728at4891	Complete	h2tg000047l_path	1120	2535	+	614.4	363	https://www.orthodb.org/v10?query=12728at4891	Homoserine O-acetyltransferase
12732at4891	Complete	h2tg000020l_path	134831	136534	+	299.7	284	https://www.orthodb.org/v10?query=12732at4891	Amino-acid acetyltransferase, mitochondrial
12737at4891	Complete	h2tg000136l_path	5110	6880	+	262.1	315	https://www.orthodb.org/v10?query=12737at4891	Mediator of RNA polymerase II transcription subunit 17
12784at4891	Complete	h2tg000083l_path	15811	14276	-	596.6	397	https://www.orthodb.org/v10?query=12784at4891	RNA polymerase II transcription factor B subunit 2
12794at4891	Complete	h2tg000151l_path	15645	18039	+	358.3	357	https://www.orthodb.org/v10?query=12794at4891	Ankyrin repeat-containing domain
12814at4891	Complete	h2tg000137l_path	40458	38902	-	624.3	377	https://www.orthodb.org/v10?query=12814at4891	Aspartokinase
12837at4891	Complete	h2tg000019l_path	130632	129295	-	599.1	352	https://www.orthodb.org/v10?query=12837at4891	Bifunctional 6-phosphofructo-2-kinase/fructose-2,6-bisphosphate 2-phosphatase
12947at4891	Complete	h2tg000109l_path	48413	49687	+	397.9	307	https://www.orthodb.org/v10?query=12947at4891	WD40-repeat-containing domain
12956at4891	Fragmented	h2tg000098l_path	9357	7939	-	132.6	213	https://www.orthodb.org/v10?query=12956at4891	E3 ubiquitin protein ligase
12973at4891	Complete	h2tg000055l_path	286972	287937	+	629.3	302	https://www.orthodb.org/v10?query=12973at4891	26S Proteasome regulatory subunit 6A
12980at4891	Fragmented	h2tg000050l_path	1252	329	-	281.4	209	https://www.orthodb.org/v10?query=12980at4891	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
13029at4891	Complete	h2tg000039l_path	204763	206498	+	434.3	397	https://www.orthodb.org/v10?query=13029at4891	Zinc finger, RING-type
13051at4891	Complete	h2tg000013l_path	221664	223109	+	420.5	288	https://www.orthodb.org/v10?query=13051at4891	tRNA (guanine(37)-N1)-methyltransferase
13102at4891	Complete	h2tg000143l_path	1197	2318	+	647.3	329	https://www.orthodb.org/v10?query=13102at4891	Histone acetyltransferase GCN5
13106at4891	Complete	h2tg000136l_path	3049	4515	+	465.3	318	https://www.orthodb.org/v10?query=13106at4891	26S proteasome non-ATPase regulatory subunit 3
13112at4891	Complete	h2tg000048l_path	75966	77489	+	308.7	263	https://www.orthodb.org/v10?query=13112at4891	Iron hydrogenase
13129at4891	Fragmented	h2tg000126l_path	154497	156204	+	255.1	221	https://www.orthodb.org/v10?query=13129at4891	Ubiquitin specific protease, conserved site
13150at4891	Complete	h2tg000065l_path	306786	308510	+	374.8	242	https://www.orthodb.org/v10?query=13150at4891	Zinc finger, MYND-type
13164at4891	Complete	h2tg000002l_path	114139	115452	+	452.6	294	https://www.orthodb.org/v10?query=13164at4891	tRNA pseudouridine synthase
13193at4891	Complete	h2tg000028l_path	79660	82254	+	422.8	535	https://www.orthodb.org/v10?query=13193at4891	actin-like ATPase domain-containing protein
13197at4891	Complete	h2tg000004l_path	42602	43672	+	530.1	280	https://www.orthodb.org/v10?query=13197at4891	Cytoplasmic tRNA 2-thiolation protein 1
13235at4891	Complete	h2tg000125l_path	56385	57807	+	493.5	308	https://www.orthodb.org/v10?query=13235at4891	Putative lipase ATG15
13241at4891	Complete	h2tg000034l_path	45962	43908	-	514.6	514	https://www.orthodb.org/v10?query=13241at4891	Pre-mRNA-splicing factor CLF1
13243at4891	Complete	h2tg000104l_path	37742	39635	+	458.5	376	https://www.orthodb.org/v10?query=13243at4891	DNA polymerase, Y-family, little finger domain
13259at4891	Complete	h2tg000055l_path	78921	76128	-	651.0	622	https://www.orthodb.org/v10?query=13259at4891	DNA ligase
13280at4891	Complete	h2tg000090l_path	79834	84131	+	799.1	846	https://www.orthodb.org/v10?query=13280at4891	Tetratricopeptide repeat
13290at4891	Complete	h2tg000006l_path	103508	109999	+	733.1	404	https://www.orthodb.org/v10?query=13290at4891	Delta(24(24(1)))-sterol reductase
13293at4891	Complete	h2tg000055l_path	173263	171890	-	414.0	283	https://www.orthodb.org/v10?query=13293at4891	Ribonuclease Nob1, eukaryote
13303at4891	Complete	h2tg000099l_path	281	1774	+	460.8	297	https://www.orthodb.org/v10?query=13303at4891	Kinase-like protein
13320at4891	Complete	h2tg000140l_path	6294	5251	-	416.2	274	https://www.orthodb.org/v10?query=13320at4891	WD40-repeat-containing domain
13326at4891	Complete	h2tg000035l_path	63778	62393	-	601.9	365	https://www.orthodb.org/v10?query=13326at4891	Mitochondrial-processing peptidase subunit beta
13347at4891	Fragmented	h2tg000028l_path	68755	69474	+	279.8	194	https://www.orthodb.org/v10?query=13347at4891	V-type proton ATPase subunit C
13383at4891	Complete	h2tg000149l_path	39525	36895	-	503.5	589	https://www.orthodb.org/v10?query=13383at4891	TOG domain
13388at4891	Complete	h2tg000078l_path	95314	93506	-	538.1	395	https://www.orthodb.org/v10?query=13388at4891	Rab proteins geranylgeranyltransferase component A
13407at4891	Complete	h2tg000037l_path	11947	10568	-	436.7	346	https://www.orthodb.org/v10?query=13407at4891	Tubulin gamma chain
13437at4891	Complete	h2tg000054l_path	43557	45020	+	439.3	358	https://www.orthodb.org/v10?query=13437at4891	Glutathione synthetase
13501at4891	Complete	h2tg000149l_path	30310	27233	-	181.5	409	https://www.orthodb.org/v10?query=13501at4891	Guanine nucleotide exchange factor
13503at4891	Complete	h2tg000058l_path	20437	21477	+	438.9	277	https://www.orthodb.org/v10?query=13503at4891	GPN-loop GTPase
